Path;Travel weight;Elapsed time;Best solution;Deviation;Algorithm
5 3 2 1 4 5 ;29;0,0005175;29;-3000;TspBabBfs
5 3 2 1 4 5 ;29;0,0005625;29;-3000;TspBabBestFs
1 5 2 3 4 1 ;27;0,0009508;27;-2800;DfsBruteForce
2 3 4 1 5 2 ;27;4,69e-05;27;-2800;TspNN
4 1 5 2 3 4 ;27;30;27;-2800;TspRand
5 2 3 4 1 5 ;27;0,000772;27;-2800;TspBabDfs
5 2 3 4 1 5 ;27;0,0007591;27;-2800;TspBabBfs
5 2 3 4 1 5 ;27;0,0008155;27;-2800;TspBabBestFs
1 5 3 4 2 1 ;33;0,00088;33;-3400;DfsBruteForce
1 5 3 4 2 1 ;33;6,68e-05;33;-3400;TspNN
4 2 1 5 3 4 ;33;30;33;-3400;TspRand
5 3 4 2 1 5 ;33;0,0005907;33;-3400;TspBabDfs
5 3 4 2 1 5 ;33;0,0007619;33;-3400;TspBabBfs
5 3 4 2 1 5 ;33;0,0008603;33;-3400;TspBabBestFs
1 4 2 3 5 1 ;35;0,0008751;35;-3600;DfsBruteForce
3 5 1 4 2 3 ;35;6,05e-05;35;-3600;TspNN
1 4 2 3 5 1 ;35;30;35;-3600;TspRand
5 1 4 2 3 5 ;35;0,0007298;35;-3600;TspBabDfs
5 1 4 2 3 5 ;35;0,000679;35;-3600;TspBabBfs
5 1 4 2 3 5 ;35;0,0009206;35;-3600;TspBabBestFs
1 3 2 5 4 1 ;46;0,0008911;46;-4700;DfsBruteForce
5 4 1 3 2 5 ;46;4,88e-05;46;-4700;TspNN
1 3 2 5 4 1 ;46;30;46;-4700;TspRand
5 4 1 3 2 5 ;46;0,0012464;46;-4700;TspBabDfs
5 4 1 3 2 5 ;46;0,0009213;46;-4700;TspBabBfs
5 4 1 3 2 5 ;46;0,0011396;46;-4700;TspBabBestFs
1 4 2 3 5 1 ;24;0,0008632;24;-2500;DfsBruteForce
1 4 2 3 5 1 ;24;4,82e-05;24;-2500;TspNN
5 1 4 2 3 5 ;24;30;24;-2500;TspRand
5 1 4 2 3 5 ;24;0,0003923;24;-2500;TspBabDfs
5 1 4 2 3 5 ;24;0,0004717;24;-2500;TspBabBfs
5 1 4 2 3 5 ;24;0,0006243;24;-2500;TspBabBestFs
1 5 6 4 2 3 1 ;36;0,0060027;36;-3700;DfsBruteForce
1 5 6 4 2 3 1 ;36;0,0001018;36;-3700;TspNN
1 5 6 4 2 3 1 ;36;30;36;-3700;TspRand
6 2 3 4 1 5 6 ;36;0,0028895;36;-3700;TspBabDfs
6 4 2 3 1 5 6 ;36;0,0027549;36;-3700;TspBabBfs
6 2 3 4 1 5 6 ;36;0,0036598;36;-3700;TspBabBestFs
1 4 2 3 5 6 1 ;33;0,006027;33;-3400;DfsBruteForce
2 6 5 3 1 4 2 ;36;9,25e-05;36;-3700;TspNN
3 5 6 1 4 2 3 ;33;30;33;-3400;TspRand
6 1 4 2 3 5 6 ;33;0,003916;33;-3400;TspBabDfs
